Recovery Days,Treatment
12.052509604081898,Standard
14.310067548017253,Standard
11.537744658892528,Standard
10.693192448702401,Standard
14.622523064592222,Standard
10.239140773643102,Standard
8.478846759091102,Standard
8.108427066190242,Standard
13.515024878364098,Standard
8.798926618759292,Standard
16.38698545496091,Standard
6.795176480290695,Standard
16.241140920725094,Standard
12.527543668006546,Standard
11.758217220324019,Standard
10.637702282977626,Standard
12.997840285880176,Standard
11.90591324393788,Standard
14.758254705041303,Standard
12.285569121655099,Standard
12.375754403654694,Standard
11.09096946946536,Standard
11.857635940697332,Standard
12.769504422230147,Standard
7.724579018358436,Standard
8.629536444735717,Standard
13.858160235056788,Standard
12.427163595319854,Standard
11.540041659118302,Standard
12.046084832663484,Standard
12.868954263404177,Standard
10.650600799226597,Standard
10.054238186494219,Standard
12.489613137744204,Standard
9.55406805596242,Standard
13.020631889286179,Standard
7.743540989405399,Standard
14.57288909331411,Standard
13.181493706032608,Standard
12.64007433578469,Standard
12.661920164680131,New
14.16404377781767,New
12.731614143039888,New
6.45007669107038,New
7.684930673181457,New
9.125399129069507,New
10.557400310463834,New
11.638849845032071,New
8.903363611062375,New
10.910886881849573,New
8.83815754882269,New
9.154660833417713,New
7.405345586933911,New
8.46888685855601,New
7.526293867644066,New
8.353078843449868,New
12.818011952537248,New
8.411322444569725,New
16.29124054264226,New
11.585299381937956,New
10.906639472128722,New
8.61161288360133,New
12.040681734699781,New
9.233596782276898,New
10.768421592219795,New
16.13218598419135,New
10.28866822060577,New
13.028401317828486,New
8.953011864723047,New
10.423025320906683,New
14.395761398398122,New
9.12067247286691,New
14.487386827593244,New
12.057054258002045,New
9.26257309303261,New
11.891297025922146,New
12.639619789178806,New
11.867981916877833,New
7.0455056162409955,New
8.90029821318529,New
