Supplier,Battery Life Hours
X,235.5446645600729
X,238.66019827619917
X,251.1720977559122
X,243.19861801679858
X,215.96380154321818
X,246.84356131810733
X,250.99054341510882
X,250.07622806275873
X,259.4540530599832
X,255.01059878188028
X,248.26524142611186
X,238.73701719374435
X,210.10270319671216
X,247.73312794438655
X,243.738378368936
X,244.88841906951671
X,217.01852563523443
X,220.54098227265126
X,258.95675135999227
X,239.2880072305802
X,252.26701255270723
X,240.5097307703483
X,240.53561051092342
X,256.889108507568
X,230.71119489208726
X,241.7301739849377
X,231.67904480330924
X,232.1790679062183
X,234.4349017775645
X,243.99840788940682
X,231.38252481005742
X,262.60361026032336
X,223.89706856004892
X,236.63631040509554
X,232.08484095106485
X,266.0456019183672
X,243.53798597720834
X,258.57320171043546
X,213.2599132853345
X,244.80690478564665
X,256.01335432122187
X,241.48111180695764
X,259.1786467511763
X,230.6888078981933
X,265.36825392334043
X,281.3801662251465
X,233.46890591208614
X,231.9809546147861
X,266.16092058811864
X,268.4322986231528
Y,244.54279945693463
Y,246.59626365808285
Y,249.36430782278987
Y,228.11098977931445
Y,236.62696107031604
Y,234.91718466495865
Y,239.64404869791744
Y,254.30630225226437
Y,259.6842946507304
Y,286.01000985628156
Y,235.0329191852242
Y,274.6864479695317
Y,250.72022311548983
Y,254.01072580695134
Y,268.49638984333205
Y,232.54555956875402
Y,262.648194923681
Y,258.3290441642611
Y,264.849025280163
Y,260.78337287815634
Y,304.1060027982179
Y,242.2452003149737
Y,244.38006089996364
Y,242.53718947150472
Y,243.89045761679492
Y,242.25225745386965
Y,278.78033062215104
Y,283.4100849597971
Y,243.58507412501046
Y,238.35288853791542
Y,264.4283111277281
Y,243.95553911438057
Y,267.6586363551102
Y,259.05846041702597
Y,224.68511770005537
Y,285.95010402660125
Y,290.9175534619104
Y,242.74422619031228
Y,247.24596880128033
Y,260.7173078144981
Y,261.6891357997405
Y,268.1708854534566
Y,295.204090775327
Y,251.461055450119
Y,239.03405510923093
Y,227.41361543970945
Y,240.38139920116163
Y,254.33746054252407
Y,290.89115727035573
Y,244.64777401927657
Z,249.92333493605577
Z,244.63869628639947
Z,271.14465201585784
Z,300.59251336921966
Z,233.32088699575294
Z,234.2323322645991
Z,267.97153929551956
Z,260.00161277177887
Z,285.6275611661927
Z,257.8464200771712
Z,237.09557400268469
Z,257.9944062752308
Z,269.391478772824
Z,263.050607986342
Z,256.16002868436055
Z,268.4668431709614
Z,270.7245029898048
Z,275.4074978028256
Z,259.27161752697214
Z,241.3234022330292
Z,248.2277011015331
Z,271.54319726318386
Z,227.0274152382808
Z,253.11081279520383
Z,236.34654612879805
Z,245.632386104566
Z,273.1259409773606
Z,249.20417949643786
Z,246.02160405943528
Z,215.08316489844177
Z,261.41757845259883
Z,259.20065198510366
Z,292.59160391272013
Z,238.228878831034
Z,249.82130720860667
Z,250.48644104163662
Z,279.7039721547964
Z,242.90349828748705
Z,251.13847356694745
Z,258.37372321376387
Z,249.1054007094399
Z,235.17846047988837
Z,249.26997984376277
Z,268.61989849691497
Z,222.41666341295667
Z,247.92533283123126
Z,229.59734207133818
Z,271.29102583634653
Z,211.48988809475696
Z,232.70371936002505
