Alpha Latency ms,Beta Latency ms
34.91292836531964,51.362208143014975
52.34289557643821,57.94556809425256
61.977249576101066,69.03220179374422
53.25972208440918,35.14621401407781
32.845040272367896,75.5964004958752
41.12612741706999,26.57494640572998
55.13528919349298,48.178578859573
39.33864427504975,57.05980647781492
48.550555425169826,53.37190241282039
51.19707242743469,42.527605762152874
37.58455622737534,47.5025329957127
44.5237971515056,44.083988784094004
19.06986127944742,42.92762291666946
36.80489886932568,60.19522516425229
42.97945478885472,54.284185831580565
35.017734544281204,41.68508485687215
58.05929043145308,60.79519850519901
33.55886897631494,53.68759425051931
41.47964410642413,59.75434542606752
46.04592461828873,57.555546103083344
56.530186312528926,40.05205986893513
33.51310279056449,43.27782751763637
54.30531001723968,58.967523261479144
45.0818644881567,57.32444318520158
37.14793079161639,49.74918087243022
48.69682779410616,51.407928599705386
46.59247756458776,65.3319787494611
40.19826498272964,42.90114333397004
45.55841667992015,56.565168574040456
41.91749122510592,47.57368817079327
,47.38782556127336
,63.185322223846285
,59.904996187856355
,59.762115632007664
,65.66574568585195
